day,time,course_code,room_code
Monday,3 10:50 - 11:45,CSE2258,NF01
Monday,4 11:45 - 12:35,MAT2501,NF01
Monday,6 1:25 - 2:20,CSE2264,NF01
Monday,7 2:30 - 3:25,CSE2251,NF01
Monday,8 3:25 - 4:15,CSE2253,NF01
Tuesday,3 10:50 - 11:45,CSE2259,LGL05
Tuesday,6 1:25 - 2:20,CSE2264,NF01
Tuesday,7 2:30 - 3:25,CSE2257,NF01
Tuesday,8 3:25 - 4:15,CSE2251,NF01
Wednesday,1 8:50 - 9:45,CSE2253,NF01
Wednesday,2 9:45 - 10:40,CSE1500,NF01
Wednesday,3 10:50 - 11:45,CSE2257,NF01
Wednesday,4 11:45 - 12:35,MAT2501,NF01
Wednesday,6 1:25 - 2:20,CSE2258,NF01
Wednesday,7 2:30 - 3:25,CSE2254,LFL03
Thursday,1 8:50 - 9:45,CSE2252,DSL03
Thursday,3 10:50 - 11:45,CSE2258,NF01
Thursday,4 11:45 - 12:35,CSE1500,NF01
Thursday,6 1:25 - 2:20,CSE2264,NF01
Thursday,7 2:30 - 3:25,CSE2257,NF01
Thursday,8 3:25 - 4:15,MAT2501,NF01
Friday,1 8:50 - 9:45,CSE2253,NF01
Friday,3 10:50 - 11:45,CSE2251,NF01
Friday,4 11:45 - 12:35,MAT2501,NF01
Friday,7 2:30 - 3:25,APT4002,NF01
Monday,1 8:50 - 9:45,CSE2258,NF02
Monday,2 9:45 - 10:40,CSE2253,NF02
Monday,3 10:50 - 11:45,CSE2259,DTL03
Monday,6 1:25 - 2:20,MAT2501,NF02
Monday,7 2:30 - 3:25,APT4002,NF02
Tuesday,1 8:50 - 9:45,MAT2501,NF02
Tuesday,2 9:45 - 10:40,CSE2251,NF02
Tuesday,3 10:50 - 11:45,CSE2254,LFL02
Tuesday,6 1:25 - 2:20,CSE2253,NF02
Wednesday,1 8:50 - 9:45,CSE2257,NF02
Wednesday,2 9:45 - 10:40,CSE2264,NF02
Wednesday,3 10:50 - 11:45,CSE2251,NF02
Wednesday,4 11:45 - 12:35,CSE2258,NF02
Wednesday,7 2:30 - 3:25,CSE2252,DSL03
Thursday,1 8:50 - 9:45,CSE2258,NF02
Thursday,2 9:45 - 10:40,CSE2253,NF02
Thursday,3 10:50 - 11:45,CSE2257,NF02
Thursday,4 11:45 - 12:35,MAT2501,NF02
Thursday,7 2:30 - 3:25,CSE2264,NF02
Thursday,8 3:25 - 4:15,CSE1500,NF02
Friday,1 8:50 - 9:45,CSE2257,NF02
Friday,2 9:45 - 10:40,CSE1500,NF02
Friday,3 10:50 - 11:45,CSE2264,NF02
Friday,4 11:45 - 12:35,CSE2251,NF02
Friday,6 1:25 - 2:20,MAT2501,NF02
Monday,1 8:50 - 9:45,CSE2264,NF03
Monday,2 9:45 - 10:40,MAT2501,NF03
Monday,3 10:50 - 11:45,CSE2259,LGL05
Monday,7 2:30 - 3:25,CSE2252,DSL04
Tuesday,1 8:50 - 9:45,CSE2251,NF03
Tuesday,2 9:45 - 10:40,CSE2258,NF03
Tuesday,3 10:50 - 11:45,CSE2257,NF03
Tuesday,4 11:45 - 12:35,CSE1500,NF03
Tuesday,6 1:25 - 2:20,MAT2501,NF03
Tuesday,7 2:30 - 3:25,APT4002,NF03
Wednesday,1 8:50 - 9:45,CSE2251,NF03
Wednesday,2 9:45 - 10:40,CSE2257,NF03
Wednesday,3 10:50 - 11:45,CSE2254,LFL02
Wednesday,6 1:25 - 2:20,CSE2253,NF03
Wednesday,7 2:30 - 3:25,CSE2264,NF03
Wednesday,8 3:25 - 4:15,MAT2501,NF03
Thursday,3 10:50 - 11:45,CSE2264,NF03
Thursday,4 11:45 - 12:35,CSE2253,NF03
Thursday,6 1:25 - 2:20,CSE2258,NF03
Friday,1 8:50 - 9:45,MAT2501,NF03
Friday,2 9:45 - 10:40,CSE2258,NF03
Friday,4 11:45 - 12:35,CSE2251,NF03
Friday,6 1:25 - 2:20,CSE2257,NF03
Friday,7 2:30 - 3:25,CSE2253,NF03
Friday,8 3:25 - 4:15,CSE1500,NF03
Monday,1 8:50 - 9:45,APT4002,NF01
Monday,3 10:50 - 11:45,CSE2264,NF02
Monday,4 11:45 - 12:35,CSE2251,NF03
Monday,6 1:25 - 2:20,CSE1500,NF03
Monday,7 2:30 - 3:25,MAT2501,NF03
Monday,8 3:25 - 4:15,CSE2253,NF03
Tuesday,1 8:50 - 9:45,MAT2501,NF01
Tuesday,2 9:45 - 10:40,CSE2253,NF01
Tuesday,3 10:50 - 11:45,CSE2251,NF02
Tuesday,4 11:45 - 12:35,CSE2258,NF02
Tuesday,7 2:30 - 3:25,CSE2257,NF02
Tuesday,8 3:25 - 4:15,CSE2264,NF02
Wednesday,3 10:50 - 11:45,CSE2254,LFL01
Wednesday,6 1:25 - 2:20,CSE2258,NF02
Wednesday,7 2:30 - 3:25,CSE2252,DFL05
Thursday,1 8:50 - 9:45,CSE2264,NF03
Thursday,2 9:45 - 10:40,CSE2251,NF03
Thursday,6 1:25 - 2:20,MAT2501,NF02
Thursday,7 2:30 - 3:25,CSE2257,NF03
Thursday,8 3:25 - 4:15,CSE1500,NF03
Friday,2 9:45 - 10:40,CSE2253,NF01
Friday,6 1:25 - 2:20,MAT2501,NF01
Friday,7 2:30 - 3:25,CSE2258,NF02
Friday,8 3:25 - 4:15,CSE2257,NF02
Monday,3 10:50 - 11:45,CSE2253,NS01
Monday,4 11:45 - 12:35,CSE2251,NS01
Monday,6 1:25 - 2:20,CSE1500,NS01
Monday,7 2:30 - 3:25,CSE2264,NS01
Monday,8 3:25 - 4:15,MAT2501,NS01
Tuesday,1 8:50 - 9:45,CSE2258,NS01
Tuesday,2 9:45 - 10:40,MAT2501,NS01
Tuesday,3 10:50 - 11:45,CSE2264,NS01
Tuesday,4 11:45 - 12:35,CSE2251,NS01
Tuesday,7 2:30 - 3:25,CSE2257,NS01
Tuesday,8 3:25 - 4:15,CSE2253,NS01
Wednesday,1 8:50 - 9:45,CSE2254,LFL03
Wednesday,3 10:50 - 11:45,CSE2257,NS01
Wednesday,4 11:45 - 12:35,MAT2501,NS01
Wednesday,6 1:25 - 2:20,CSE2251,NS01
Wednesday,7 2:30 - 3:25,CSE2258,NS01
Wednesday,8 3:25 - 4:15,CSE2253,NS01
Thursday,1 8:50 - 9:45,CSE1500,NS01
Thursday,2 9:45 - 10:40,MAT2501,NS01
Thursday,3 10:50 - 11:45,CSE2259,LFL04
Thursday,6 1:25 - 2:20,CSE2257,NS01
Thursday,7 2:30 - 3:25,APT4002,NS01
Friday,3 10:50 - 11:45,CSE2264,NS01
Friday,4 11:45 - 12:35,CSE2258,NS01
Friday,7 2:30 - 3:25,CSE2252,DSL04
Monday,1 8:50 - 9:45,CSE1500,NS02
Monday,2 9:45 - 10:40,CSE2257,NS02
Monday,6 1:25 - 2:20,MAT2501,NS02
Monday,7 2:30 - 3:25,CSE2251,NS02
Monday,8 3:25 - 4:15,CSE2253,NS02
Tuesday,1 8:50 - 9:45,CSE2252,DFL04
Tuesday,3 10:50 - 11:45,APT4002,NS02
Tuesday,6 1:25 - 2:20,CSE2264,NS02
Tuesday,7 2:30 - 3:25,CSE2259,LFL04
Wednesday,1 8:50 - 9:45,MAT2501,NS02
Wednesday,2 9:45 - 10:40,CSE2258,NS02
Wednesday,7 2:30 - 3:25,CSE2254,LFL01
Thursday,1 8:50 - 9:45,CSE2251,NS02
Thursday,2 9:45 - 10:40,CSE2264,NS02
Thursday,3 10:50 - 11:45,CSE2253,NS02
Thursday,4 11:45 - 12:35,MAT2501,NS02
Thursday,7 2:30 - 3:25,CSE2258,NS02
Thursday,8 3:25 - 4:15,CSE2257,NS02
Friday,1 8:50 - 9:45,CSE2264,NS02
Friday,2 9:45 - 10:40,CSE2258,NS02
Friday,3 10:50 - 11:45,CSE2251,NS02
Friday,4 11:45 - 12:35,CSE1500,NS02
Friday,6 1:25 - 2:20,CSE2253,NS02
Friday,7 2:30 - 3:25,CSE2257,NS02
Friday,8 3:25 - 4:15,MAT2501,NS02
Monday,1 8:50 - 9:45,CSE2259,LFL05
Tuesday,3 10:50 - 11:45,CSE2254,LFL03
Thursday,3 10:50 - 11:45,CSE2252,DFL04
Monday,1 8:50 - 9:45,MAT2501,NS03
Monday,2 9:45 - 10:40,CSE1500,NS03
Monday,3 10:50 - 11:45,CBC2000,NS03
Monday,4 11:45 - 12:35,CSE2251,NS03
Monday,6 1:25 - 2:20,CSE2257,NS03
Monday,7 2:30 - 3:25,CSE2271,NS03
Tuesday,1 8:50 - 9:45,CSE2251,NS03
Tuesday,2 9:45 - 10:40,MAT2501,NS03
Tuesday,3 10:50 - 11:45,CSE2252,DSL03
Tuesday,6 1:25 - 2:20,CSE2253,NS03
Tuesday,7 2:30 - 3:25,CSE2271,NS03
Wednesday,1 8:50 - 9:45,CSE2257,NS03
Wednesday,2 9:45 - 10:40,CSE1500,NS03
Wednesday,3 10:50 - 11:45,CSE2253,NS03
Wednesday,4 11:45 - 12:35,MAT2501,NS03
Wednesday,6 1:25 - 2:20,CSE2251,NS03
Thursday,1 8:50 - 9:45,CSE2254,LFL03
Thursday,3 10:50 - 11:45,APT4002,NS03
Thursday,6 1:25 - 2:20,CBC2000,NS03
Thursday,7 2:30 - 3:25,CSE2257,NS03
Friday,1 8:50 - 9:45,CBC2000,NS03
Friday,2 9:45 - 10:40,MAT2501,NS03
Friday,6 1:25 - 2:20,CSE2271,NS03
Friday,7 2:30 - 3:25,CSE2253,NS03
Monday,1 8:50 - 9:45,CSE2251,NS01
Monday,2 9:45 - 10:40,CSE1500,NS01
Monday,3 10:50 - 11:45,CBD2000,NS02
Monday,4 11:45 - 12:35,MAT2501,NS02
Monday,7 2:30 - 3:25,CSE2254,LFL01
Tuesday,1 8:50 - 9:45,MAT2501,NS02
Tuesday,2 9:45 - 10:40,CSE2271,NS02
Tuesday,6 1:25 - 2:20,CSE2257,NS01
Tuesday,7 2:30 - 3:25,CSE2253,NS02
Tuesday,8 3:25 - 4:15,FIN1002,NS02
Wednesday,1 8:50 - 9:45,FIN1002,NS01
Wednesday,2 9:45 - 10:40,MAT2501,NS01
Wednesday,3 10:50 - 11:45,APT4002,NS02
Wednesday,6 1:25 - 2:20,CSE2257,NS02
Thursday,1 8:50 - 9:45,CSE1500,NS03
Thursday,2 9:45 - 10:40,CSE2251,NS03
Thursday,3 10:50 - 11:45,CBD2000,NS01
Thursday,4 11:45 - 12:35,CSE2253,NS01
Thursday,6 1:25 - 2:20,CSE2271,NS02
Thursday,7 2:30 - 3:25,CSE2252,DSL05
Friday,1 8:50 - 9:45,CSE2253,NS01
Friday,2 9:45 - 10:40,MAT2501,NS01
Friday,3 10:50 - 11:45,CSE2271,NS03
Friday,4 11:45 - 12:35,FIN1002,NS03
Friday,6 1:25 - 2:20,CBD2000,NS01
Friday,7 2:30 - 3:25,CSE2251,NS01
Friday,8 3:25 - 4:15,CSE2257,NS03
Monday,1 8:50 - 9:45,CSE2253,NS04
Monday,2 9:45 - 10:40,CSE2271,NS04
Monday,3 10:50 - 11:45,CSE2258,NS04
Monday,4 11:45 - 12:35,CSE2251,NS04
Monday,6 1:25 - 2:20,CSE1500,NS04
Monday,7 2:30 - 3:25,CSE2257,NS04
Monday,8 3:25 - 4:15,MAT2501,NS04
Tuesday,1 8:50 - 9:45,MAT2501,NS04
Tuesday,2 9:45 - 10:40,CSE2251,NS04
Tuesday,3 10:50 - 11:45,CSE2253,NS04
Tuesday,4 11:45 - 12:35,CSE2258,NS04
Tuesday,6 1:25 - 2:20,CSE2257,NS04
Tuesday,7 2:30 - 3:25,APT4002,NS04
Wednesday,1 8:50 - 9:45,CSE2271,NS04
Wednesday,3 10:50 - 11:45,CSE2252,DFL05
Wednesday,6 1:25 - 2:20,CSE2258,NS04
Thursday,1 8:50 - 9:45,CSE1500,NS04
Thursday,2 9:45 - 10:40,CSE2253,NS04
Thursday,3 10:50 - 11:45,CSE2271,NS04
Thursday,4 11:45 - 12:35,MAT2501,NS04
Thursday,7 2:30 - 3:25,CSE2259,LGL05
Friday,1 8:50 - 9:45,CSE2254,LFL03
Friday,3 10:50 - 11:45,CSE2257,NS04
Friday,4 11:45 - 12:35,MAT2501,NS04
Friday,6 1:25 - 2:20,CSE2251,NS04
Monday,1 8:50 - 9:45,CSE2251,NS05
Monday,2 9:45 - 10:40,CSE2257,NS05
Monday,3 10:50 - 11:45,CSE2253,NS05
Monday,4 11:45 - 12:35,MAT2501,NS05
Monday,6 1:25 - 2:20,CSE2271,NS05
Tuesday,1 8:50 - 9:45,CSE2253,NS05
Tuesday,3 10:50 - 11:45,MAT2501,NS05
Tuesday,4 11:45 - 12:35,CSE2251,NS05
Tuesday,6 1:25 - 2:20,CSE1500,NS05
Tuesday,7 2:30 - 3:25,CSE2258,NS05
Tuesday,8 3:25 - 4:15,CSE2271,NS05
Wednesday,1 8:50 - 9:45,CSE2257,NS05
Wednesday,2 9:45 - 10:40,CSE2258,NS05
Wednesday,3 10:50 - 11:45,CSE2254,LFL03
Wednesday,6 1:25 - 2:20,CSE1500,NS05
Thursday,1 8:50 - 9:45,MAT2501,NS05
Thursday,2 9:45 - 10:40,CSE2258,NS05
Thursday,3 10:50 - 11:45,CSE2252,DFL05
Thursday,6 1:25 - 2:20,CSE2253,NS05
Thursday,7 2:30 - 3:25,APT4002,NS05
Friday,1 8:50 - 9:45,CSE2257,NS05
Friday,2 9:45 - 10:40,CSE2251,NS05
Friday,6 1:25 - 2:20,CSE2271,NS05
Friday,8 3:25 - 4:15,MAT2501,NS05
Monday,1 8:50 - 9:45,CSE2257,NS06
Monday,2 9:45 - 10:40,CSE2271,NS06
Monday,3 10:50 - 11:45,MAT2501,NS06
Monday,4 11:45 - 12:35,CSE2253,NS06
Monday,6 1:25 - 2:20,CSE2258,NS06
Tuesday,1 8:50 - 9:45,MAT2501,NS06
Tuesday,2 9:45 - 10:40,CSE2271,NS06
Tuesday,3 10:50 - 11:45,CSE1500,NS06
Tuesday,4 11:45 - 12:35,CSE2257,NS06
Tuesday,6 1:25 - 2:20,CSE2251,NS06
Tuesday,7 2:30 - 3:25,CSE2259,LGL01
Wednesday,1 8:50 - 9:45,CSE2258,NS06
Wednesday,2 9:45 - 10:40,CSE2253,NS06
Wednesday,3 10:50 - 11:45,CSE2252,DSL03
Wednesday,6 1:25 - 2:20,MAT2501,NS06
Thursday,1 8:50 - 9:45,CSE2253,NS06
Thursday,4 11:45 - 12:35,CSE2257,NS06
Thursday,6 1:25 - 2:20,MAT2501,NS06
Thursday,7 2:30 - 3:25,CSE2251,NS06
Thursday,8 3:25 - 4:15,CSE2258,NS06
Friday,1 8:50 - 9:45,CSE2271,NS06
Friday,2 9:45 - 10:40,CSE2251,NS06
Friday,3 10:50 - 11:45,APT4002,NS06
Friday,6 1:25 - 2:20,CSE1500,NS06
Friday,7 2:30 - 3:25,CSE2254,LFL02
Monday,1 8:50 - 9:45,CSE2253,QS05
Monday,2 9:45 - 10:40,CDV2000,QS05
Monday,3 10:50 - 11:45,CSE2254,LTL01
Monday,6 1:25 - 2:20,CSE2257,QS05
Monday,7 2:30 - 3:25,CSE2271,QS05
Tuesday,1 8:50 - 9:45,CSE2257,QS05
Tuesday,2 9:45 - 10:40,MAT2501,QS05
Tuesday,3 10:50 - 11:45,APT4002,QS05
Tuesday,6 1:25 - 2:20,CSE2251,QS05
Tuesday,7 2:30 - 3:25,CDV2000,QS05
Wednesday,1 8:50 - 9:45,CSE2252,LTL03
Wednesday,3 10:50 - 11:45,MAT2501,QS05
Wednesday,4 11:45 - 12:35,CSE1500,QS05
Wednesday,6 1:25 - 2:20,CSE2257,QS05
Thursday,1 8:50 - 9:45,CSE1500,QS05
Thursday,2 9:45 - 10:40,CSE2271,QS05
Thursday,3 10:50 - 11:45,MAT2501,QS05
Thursday,4 11:45 - 12:35,CDV2000,QS05
Thursday,6 1:25 - 2:20,CSE2251,QS05
Thursday,7 2:30 - 3:25,CSE2253,QS05
Friday,3 10:50 - 11:45,MAT2501,QS05
Friday,4 11:45 - 12:35,CSE2251,QS05
Friday,6 1:25 - 2:20,CSE2271,QS05
Friday,7 2:30 - 3:25,CSE2253,QS05
Monday,3 10:50 - 11:45,CSE2251,QS06
Monday,4 11:45 - 12:35,CSE2271,QS06
Monday,6 1:25 - 2:20,CDV2000,QS06
Monday,7 2:30 - 3:25,CSE2253,QS06
Tuesday,1 8:50 - 9:45,CSE2254,LTL01
Tuesday,3 10:50 - 11:45,CSE2257,QS06
Tuesday,4 11:45 - 12:35,CDV2000,QS06
Tuesday,6 1:25 - 2:20,CSE1500,QS06
Tuesday,7 2:30 - 3:25,MAT2501,QS06
Wednesday,1 8:50 - 9:45,CSE2257,QS06
Wednesday,2 9:45 - 10:40,CSE2253,QS06
Wednesday,3 10:50 - 11:45,MAT2501,QS06
Wednesday,4 11:45 - 12:35,CSE2251,QS06
Wednesday,6 1:25 - 2:20,CSE2271,QS06
Thursday,1 8:50 - 9:45,CSE2252,LTL03
Thursday,3 10:50 - 11:45,APT4002,QS06
Thursday,6 1:25 - 2:20,MAT2501,QS06
Thursday,7 2:30 - 3:25,CSE1500,QS06
Friday,1 8:50 - 9:45,MAT2501,QS06
Friday,2 9:45 - 10:40,CSE2253,QS06
Friday,3 10:50 - 11:45,CSE2271,QS06
Friday,4 11:45 - 12:35,CSE2257,QS06
Friday,6 1:25 - 2:20,CSE2251,QS06
Friday,7 2:30 - 3:25,CDV2000,QS06
Monday,1 8:50 - 9:45,CSE2251,NT02
Monday,2 9:45 - 10:40,CSE2253,NT02
Monday,3 10:50 - 11:45,CIT2400,NT02
Monday,4 11:45 - 12:35,CSE2257,NT02
Monday,7 2:30 - 3:25,CSE2258,NT02
Monday,8 3:25 - 4:15,MAT2501,NT02
Tuesday,1 8:50 - 9:45,CSE2257,NT02
Tuesday,3 10:50 - 11:45,CSE2258,NT02
Tuesday,4 11:45 - 12:35,MAT2501,NT02
Tuesday,6 1:25 - 2:20,CSE2253,NT02
Wednesday,1 8:50 - 9:45,CSE2252,DFL05
Wednesday,3 10:50 - 11:45,CSE2258,NT02
Wednesday,4 11:45 - 12:35,CSE2251,NT02
Wednesday,6 1:25 - 2:20,CIT2400,NT02
Thursday,1 8:50 - 9:45,MAT2501,NT02
Thursday,2 9:45 - 10:40,CSE2251,NT02
Thursday,3 10:50 - 11:45,CSE2254,LFL03
Thursday,6 1:25 - 2:20,CSE1500,NT02
Thursday,7 2:30 - 3:25,CSE2259,LGL03
Friday,1 8:50 - 9:45,CSE2253,NT02
Friday,2 9:45 - 10:40,CIT2400,NT02
Friday,3 10:50 - 11:45,MAT2501,NT02
Friday,4 11:45 - 12:35,CSE2257,NT02
Friday,6 1:25 - 2:20,CSE1500,NT02
Friday,7 2:30 - 3:25,APT4002,NT02
Monday,1 8:50 - 9:45,CSE2253,NT03
Monday,2 9:45 - 10:40,MAT2501,NT03
Monday,3 10:50 - 11:45,CSE2251,NT03
Monday,4 11:45 - 12:35,CSE2258,NT03
Monday,6 1:25 - 2:20,CSE1500,NT03
Monday,7 2:30 - 3:25,CSE2254,LFL02
Tuesday,2 9:45 - 10:40,CIT2400,NT03
Tuesday,3 10:50 - 11:45,CSE2252,DFL04
Tuesday,6 1:25 - 2:20,CSE2251,NT03
Tuesday,7 2:30 - 3:25,CSE2253,NT03
Tuesday,8 3:25 - 4:15,CSE2257,NT03
Wednesday,1 8:50 - 9:45,CSE2258,NT03
Wednesday,2 9:45 - 10:40,MAT2501,NT03
Wednesday,3 10:50 - 11:45,APT4002,NT03
Thursday,1 8:50 - 9:45,CIT2400,NT03
Thursday,2 9:45 - 10:40,CSE2258,NT03
Thursday,3 10:50 - 11:45,CSE2257,NT03
Thursday,4 11:45 - 12:35,MAT2501,NT03
Thursday,6 1:25 - 2:20,CSE2253,NT03
Thursday,7 2:30 - 3:25,CSE2251,NT03
Thursday,8 3:25 - 4:15,CSE1500,NT03
Friday,3 10:50 - 11:45,CIT2400,NT03
Friday,4 11:45 - 12:35,MAT2501,NT03
Friday,6 1:25 - 2:20,CSE2257,NT03
Monday,1 8:50 - 9:45,MAT2501,NT01
Monday,2 9:45 - 10:40,CSE1500,NT01
Monday,3 10:50 - 11:45,CSE2252,DSL03
Monday,6 1:25 - 2:20,CSE2258,NT02
Monday,7 2:30 - 3:25,APT4002,NT03
Tuesday,1 8:50 - 9:45,CSE2258,NT03
Tuesday,2 9:45 - 10:40,CSE2257,NT02
Tuesday,3 10:50 - 11:45,MAT2501,NT03
Tuesday,4 11:45 - 12:35,CIT2400,NT03
Tuesday,7 2:30 - 3:25,CSE1500,NT02
Tuesday,8 3:25 - 4:15,CSE2251,NT02
Wednesday,1 8:50 - 9:45,CIT2400,NT02
Wednesday,2 9:45 - 10:40,MAT2501,NT02
Wednesday,3 10:50 - 11:45,CSE2259,LGL05
Wednesday,6 1:25 - 2:20,CSE2253,NT03
Thursday,3 10:50 - 11:45,CSE2251,NT02
